Cow,Lact,dim_mean,milk_mean,milk_sd,clinical
406,2,116,80.55,9.6,1
407,2,88.95,103.12,12.78,1
408,2,67.5,132.33,13.62,1
409,2,9,135.69,11.62,0
410,3,115.43,118.11,19.8,1
411,2,50,112.54,10.58,0
412,3,141.44,117.66,21.93,1
413,2,15.5,105.76,8.54,1
414,2,77.7,94,10.55,0
415,2,33.5,116.6,12.65,1
416,2,76,120.72,15.34,0
417,2,74.42,88.53,11.15,1
418,3,142.14,111.63,15.26,1
419,2,71.67,129.64,15.69,1
420,2,56,98.15,7.84,1
421,2,77.08,106.74,14.81,0
422,2,19,143.82,14.76,0
423,2,56.78,95.74,9.79,0
424,2,67.61,136.19,17.24,1
425,2,54.5,105.99,11.63,1
426,2,72.15,90.24,10.82,0
427,2,49.41,102.81,11.78,0
428,2,67.67,97.7,17.26,1
429,2,71.26,113.84,14,0
430,3,141.8,101.7,23.96,0
431,2,55.24,91.97,22.58,0
432,11,87.01,75.79,10.63,0
433,2,61.5,119.28,9.79,0
434,3,146.54,129.37,22.36,0
435,2,39.5,93.86,10.46,0
436,2,60,127.11,15.13,0
437,2,34.5,113.81,14.55,0
438,3,147.53,126.24,16.12,0
439,2,23.5,119.09,14.36,0
440,2,43.5,113.98,14.28,0
441,2,57,87.44,8.87,0
442,2,38.5,114.62,12.22,0
443,2,51.5,120.72,15.31,1
444,2,41,98,11.26,1
445,2,59.36,122.81,11.37,0
446,2,49,109.37,8.27,0
447,2,43.5,126.67,11.57,0
448,3,148.79,131.16,28.22,0
449,2,24,102.93,8.78,0
450,2,30,108.58,12.68,1
451,2,60,106.87,12.46,0
452,2,77.5,123.86,11.19,1
453,2,51.38,130.58,18.54,0
454,2,35,129.34,12.22,1
455,2,26.55,108.28,17.11,0
456,2,39,106.1,12.7,1
457,2,45.5,112.01,15.68,0
458,2,28.5,97.24,10.19,1
459,2,49,102.7,11.56,0
460,2,35.5,159.51,19.2,1
461,2,14.5,144,13.25,1
462,2,7,108.57,12.15,1
463,2,23,107.79,8.13,0
464,2,37,124.17,15.65,1
465,2,42.5,137.25,14.68,1
466,2,45.5,121.94,13.98,0
467,2,40.5,131.5,14.61,0
468,2,29.39,108.61,14.28,1
469,2,37,139.93,16.38,0
470,2,8.5,89.27,8.31,1
471,2,58,117.32,8.8,1
472,2,22.5,129.15,15.12,0
473,2,45.5,109.34,10.64,0
474,2,23,140.99,12.08,0
475,2,40.5,121.63,17.67,0
476,2,34,117.87,15.92,0
477,2,8.5,87.17,13.55,1
478,2,34,102.32,18.67,0
479,2,15.5,110.55,8.06,1
480,2,25.5,100.34,15.14,0
481,2,39,130.55,13.78,0
482,2,39.3,134.43,12.75,1
483,2,8.5,122.62,3.9,1
484,2,8.5,104,11.62,1
485,2,40.5,124.92,12.09,0
486,2,7,92.4,5.94,0
487,2,19,90.08,11.07,0
488,2,16.5,97.61,8.29,1
489,2,25,123.16,23.66,0
490,2,12,116.42,14.06,0
